w,cefr,phase_origin,ipa,ipa_actual_ga,rp_ipa,gloss_ja,flags,has_respell_ga,has_respell_rp
candy,A1,original(pre-Phase1),/ˈkændi/,,/ˈkændi/,あめ,R4-VntV-excluded,True,True
contest,A1,original(pre-Phase1),/ˈkɑntɛst/,,/ˈkɒntest/,コンテスト,R4-VntV-excluded,True,True
interview,A1,original(pre-Phase1),/ˈɪntɚˌvju/,,/ˈɪntəˌvjuː/,インタビュー,R4-VntV-excluded,True,True
interviewer,A1,original(pre-Phase1),/ˈɪntɚˌvjuɚ/,,/ˈɪntəˌvjuːə/,インタビュアー,R4-VntV-excluded,True,True
into,A1,original(pre-Phase1),/ˈɪntu/,,/ˈɪntuː/,の中へ,R4-VntV-excluded,True,True
monday,A1,original(pre-Phase1),/ˈmʌndi/,,/ˈmʌndi/,月曜日,R4-VntV-excluded,True,True
ninety,A1,original(pre-Phase1),/ˈnaɪnti/,,/ˈnaɪnti/,九十,R4-VntV-excluded,True,True
painting,A1,original(pre-Phase1),/ˈpeɪntɪŋ/,,/ˈpeɪntɪŋ/,絵画,R4-VntV-excluded,True,True
scientist,A1,original(pre-Phase1),/ˈsaɪəntɪst/,,/ˈsaɪəntɪst/,科学者,R4-VntV-excluded,True,True
seventy,A1,original(pre-Phase1),/ˈsɛvənti/,,/ˈsevənti/,70,R4-VntV-excluded,True,True
sunday,A1,original(pre-Phase1),/ˈsʌnˌdeɪ/,,/ˈsʌnˌdeɪ/,日曜日,R4-VntV-excluded,True,True
twenty,A1,original(pre-Phase1),/ˈtwɛnti/,,/ˈtwenti/,二十,R4-VntV-excluded,True,True
under,A1,original(pre-Phase1),/ˈʌndɚ/,,/ˈʌndə/,下,R4-VntV-excluded,True,True
underline,A1,original(pre-Phase1),/ˈʌndɚˌlaɪn/,,/ˈʌndəˌlaɪn/,下線,R4-VntV-excluded,True,True
understood,A1,original(pre-Phase1),/ˌʌndɚˈstʊd/,,/ˌʌndəˈstʊd/,理解する（understandの過去形・過去分詞）,R4-VntV-excluded,True,True
window,A1,original(pre-Phase1),/ˈwɪndoʊ/,,/ˈwɪndəʊ/,ウィンドウ,R4-VntV-excluded,True,True
winter,A1,original(pre-Phase1),/ˈwɪntɚ/,,/ˈwɪntə/,冬,R4-VntV-excluded,True,True
wonderful,A1,original(pre-Phase1),/ˈwʌndɚfəl/,,/ˈwʌndəfəl/,素晴らしい,R4-VntV-excluded,True,True
advantage,A2,original(pre-Phase1),/ædˈvæntɪdʒ/,,/ədˈvɑːntɪdʒ/,アドバンテージ,R4-VntV-excluded,True,True
calendar,A2,original(pre-Phase1),/ˈkæləndɚ/,,/ˈkæləndə/,カレンダー,R4-VntV-excluded,True,True
contact,A2,original(pre-Phase1),/ˈkɑnˌtækt/,,/ˈkɒnˌtækt/,連絡、連絡する,R4-VntV-excluded,True,True
context,A2,original(pre-Phase1),/ˈkɑntɛkst/,,/ˈkɒntekst/,コンテクスト,R4-VntV-excluded,True,True
continent,A2,original(pre-Phase1),/ˈkɑntənənt/,,/ˈkɒntɪnənt/,大陸,R4-VntV-excluded,True,True
dentist,A2,original(pre-Phase1),/ˈdɛntəst/,,/ˈdentɪst/,歯医者,R4-VntV-excluded,True,True
disadvantage,A2,original(pre-Phase1),/ˌdɪsədˈvæntɪdʒ/,,/ˌdɪsədˈvɑːntɪdʒ/,デメリット,R4-VntV-excluded,True,True
disappointed,A2,original(pre-Phase1),/ˌdɪsəˈpɔɪntɪd/,,/ˌdɪsəˈpɔɪntɪd/,残念だった,R4-VntV-excluded,True,True
disappointing,A2,original(pre-Phase1),/ˌdɪsəˈpɔɪntɪŋ/,,/ˌdɪsəˈpɔɪntɪŋ/,残念な,R4-VntV-excluded,True,True
ending,A2,original(pre-Phase1),/ˈɛndɪŋ/,,/ˈendɪŋ/,エンディング,R4-VntV-excluded,True,True
enter,A2,original(pre-Phase1),/ˈɛntɚ/,,/ˈentə/,入力,R4-VntV-excluded,True,True
entertainment,A2,original(pre-Phase1),/ˌɛntɚˈteɪnmənt/,,/ˌentəˈteɪnmənt/,エンターテインメント,R4-VntV-excluded,True,True
gender,A2,original(pre-Phase1),/ˈdʒɛndɚ/,,/ˈdʒendə/,性別,R4-VntV-excluded,True,True
