headword,ipa,cefr,pos,source,pattern,group,gloss_en,gloss_ja,gloss_zh,gloss_ko
a,/ə/,A1,限定詞,cefr,,,,,,
about,/əˈbaʊt/,A1,副詞 / 前置詞,cefr,,,,,,
above,/əˈbʌv/,A1,副詞 / 前置詞,cefr,,,,,,
action,/ˈækʃən/,A1,名詞,cefr,,,,,,
activity,/ækˈtɪvəti/,A1,名詞,cefr,,,,,,
actor,/ˈæktɚ/,A1,名詞,cefr,,,,,,
add,/æd/,A1,動詞,both,a → /æ/,short,,,,
address,/ˈæˌdrɛs/,A1,名詞,cefr,,,,,,
afraid,/əˈfreɪd/,A1,形容詞,cefr,,,,,,
after,/ˈæftɚ/,A1,副詞 / 前置詞,cefr,,,,,,
afternoon,/ˌæftɚˈnun/,A1,名詞,cefr,,,,,,
again,/əˈɡɛn/,A1,副詞,cefr,,,,,,
age,/eɪdʒ/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
ago,/əˈɡoʊ/,A1,副詞,cefr,,,,,,
agree,/əˈɡri/,A1,動詞,cefr,,,,,,
airport,/ˈɛrˌpɔrt/,A1,名詞,cefr,,,,,,
album,/ˈælbəm/,A1,名詞,cefr,,,,,,
all,/ɔl/,A1,副詞 / 限定詞 / 代名詞,both,a → /ɔ/,long,,,,
almost,/ˈɔlˌmoʊst/,A1,副詞,cefr,,,,,,
alone,/əˈloʊn/,A1,形容詞 / 副詞,cefr,,,,,,
along,/əˈlɔŋ/,A1,副詞 / 前置詞,cefr,,,,,,
already,/ɔlˈrɛdi/,A1,副詞,cefr,,,,,,
also,/ˈɔlsoʊ/,A1,副詞,cefr,,,,,,
always,/ˈɔlˌweɪz/,A1,副詞,cefr,,,,,,
am,/æm/,A1,be動詞,both,a → /æ/,short,,,,
an,/æn/,A1,限定詞,both,a → /æ/,short,,,,
and,/ənd/,A1,接続詞,cefr,,,,,,
angry,/ˈæŋɡri/,A1,形容詞,cefr,,,,,,
animal,/ˈænəməl/,A1,名詞,cefr,,,,,,
another,/əˈnʌðɚ/,A1,限定詞 / 代名詞,cefr,,,,,,
answer,/ˈænsɚ/,A1,名詞 / 動詞,cefr,,,,,,
any,/ˈɛni/,A1,限定詞 / 代名詞,cefr,,,,,,
anybody,/ˈɛnibədi/,A1,代名詞,cefr,,,,,,
anyone,/ˈɛniˌwʌn/,A1,代名詞,cefr,,,,,,
anything,/ˈɛniˌθɪŋ/,A1,代名詞,cefr,,,,,,
apple,/ˈæpəl/,A1,名詞,cefr,,,,,,
april,/ˈeɪprəl/,A1,名詞,cefr,,,,,,
apron,/ˈeɪprən/,A1,名詞,cefr,,,,,,
are,/ɑr/,A1,be動詞,both,ar → /ɑr/,r,,,,
arm,/ɑrm/,A1,名詞,both,ar → /ɑr/,r,,,,
around,/ɚˈaʊnd/,A1,副詞 / 前置詞,cefr,,,,,,
arrive,/ɚˈaɪv/,A1,動詞,cefr,,,,,,
art,/ɑrt/,A1,名詞,both,ar → /ɑr/,r,,,,
article,/ˈɑrtəkəl/,A1,名詞,cefr,,,,,,
as,/æz/,A1,接続詞 / 前置詞,both,a → /æ/,short,,,,
ask,/æsk/,A1,動詞,both,a → /æ/,short,,,,
at,/æt/,A1,前置詞,both,a → /æ/,short,,,,
august,/ˈɑɡəst/,A1,名詞,cefr,,,,,,
aunt,/ænt/,A1,名詞,cefr,,,,,,
autumn,/ˈɔtəm/,A1,名詞,cefr,,,,,,
awake,/əˈweɪk/,A1,形容詞,cefr,,,,,,
away,/əˈweɪ/,A1,副詞,cefr,,,,,,
baby,/ˈbeɪbi/,A1,名詞,cefr,,,,,,
back,/bæk/,A1,形容詞 / 副詞 / 名詞,both,a → /æ/,short,,,,
bad,/bæd/,A1,形容詞,both,a → /æ/,short,,,,
bag,/bæɡ/,A1,名詞,both,a → /æ/,short,,,,
ball,/bɔl/,A1,名詞,both,a → /ɔ/,long,,,,
banana,/bəˈnænə/,A1,名詞,cefr,,,,,,
band,/bænd/,A1,名詞,both,a → /æ/,short,,,,
bank,/bæŋk/,A1,名詞 / 動詞,cefr,,,,,,
bar,/bɑr/,A1,名詞,both,ar → /ɑr/,r,,,,
baseball,/beɪsˈbɔl/,A1,名詞,cefr,,,,,,
basketball,/ˈbæskətˌbɔl/,A1,名詞,cefr,,,,,,
bat,/bæt/,A1,名詞,both,a → /æ/,short,,,,
bath,/bæθ/,A1,名詞,both,a → /æ/,short,,,,
bathroom,/ˈbæˌθrum/,A1,名詞,cefr,,,,,,
be,/bi/,A1,be動詞,both,e → /i/,long,,,,
beach,/bitʃ/,A1,名詞,both,ea → /i/,team,,,,
bean,/bin/,A1,名詞,both,ea → /i/,team,,,,
bear,/bɛr/,A1,名詞 / 動詞,both,ear → /ɛr/,r,,,,
beautiful,/ˈbjutəfəl/,A1,形容詞,cefr,,,,,,
because,/bɪˈkɔz/,A1,接続詞,cefr,,,,,,
become,/bɪˈkʌm/,A1,動詞,cefr,,,,,,
bed,/bɛd/,A1,名詞,both,e → /ɛ/,short,,,,
bedroom,/ˈbɛˌdrum/,A1,名詞,cefr,,,,,,
bee,/bi/,A1,名詞,both,ee → /i/,team,,,,
beef,/bif/,A1,名詞,both,ee → /i/,team,,,,
before,/bɪˈfɔr/,A1,副詞 / 接続詞 / 前置詞,cefr,,,,,,
begin,/bɪˈɡɪn/,A1,動詞,cefr,,,,,,
behind,/bɪˈhaɪnd/,A1,副詞 / 前置詞,cefr,,,,,,
believe,/bɪˈliv/,A1,動詞,cefr,,,,,,
bell,/bɛl/,A1,名詞,both,e → /ɛ/,short,,,,
below,/bɪˈloʊ/,A1,副詞 / 前置詞,cefr,,,,,,
beside,/bɪˈsaɪd/,A1,前置詞,cefr,,,,,,
best,/bɛst/,A1,形容詞 / 副詞,both,e → /ɛ/,short,,,,
better,/ˈbɛtɚ/,A1,形容詞 / 副詞,cefr,,,,,,
between,/bɪˈtwin/,A1,前置詞,cefr,,,,,,
bicycle,/ˈbaɪsɪkəl/,A1,名詞,cefr,,,,,,
big,/bɪɡ/,A1,形容詞,both,i → /ɪ/,short,,,,
bike,/baɪk/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
bird,/bɝd/,A1,名詞,both,ir → /ɝ/,r,,,,
birth,/bɝθ/,A1,名詞,both,ir → /ɝ/,r,,,,
birthday,/ˈbɝθˌdeɪ/,A1,名詞,cefr,,,,,,
biscuit,/ˈbɪskət/,A1,名詞,cefr,,,,,,
black,/blæk/,A1,形容詞 / 名詞,both,a → /æ/,short,,,,
blank,/blæŋk/,A1,形容詞,cefr,,,,,,
block,/blɑk/,A1,名詞,both,o → /ɑ/,short,,,,
blow,/bloʊ/,A1,名詞 / 動詞,both,ow → /oʊ/,team,,,,
blue,/blu/,A1,形容詞 / 名詞,both,ue → /u/,team,,,,
board,/bɔrd/,A1,名詞,both,oar → /ɔr/,r,,,,
boat,/boʊt/,A1,名詞,both,oa → /oʊ/,team,,,,
body,/ˈbɑdi/,A1,名詞,cefr,,,,,,
bone,/boʊn/,A1,名詞,both,o_e → /oʊ/ (マジックe),long,,,,
book,/bʊk/,A1,名詞,both,oo → /ʊ/,team,,,,
